0,neg,neu,pos,
?,0,0,0,
!,0,0,0,
0,0,0,0,
:,0,0,0,
\u2026,0,1,0,
the,0,1,0,
rt,0,1,0,
my,0,1,0,
i,0,0,0,
to,0,1,0,
",",0,0,0,
a,0,0,0,
this,0,1,0,
...,0,1,0,
and,0,1,0,
is,0,1,0,
in,0,1,0,
of,0,1,0,
me,0,1,0,
you,0,1,0,
/,0,0,0,
@,0,0,0,
#me,0,1,0,
#smile,0,0,1,
for,0,1,0,
"""",0,0,0,
with,0,1,0,
:),0,0,1,
so,0,1,0,
..,0,1,0,
day,0,1,0,
:(,1,0,0,
#,0,0,0,
#friends,0,0,1,
on,0,1,0,
it,0,1,0,
at,0,1,0,
),0,0,0,
#girl,0,1,0,
be,0,1,0,
de,0,1,0,
#cute,0,0,1,
#fun,0,0,1,
love,0,0,1,
i'm,0,1,0,
\u2764,0,1,0,
just,0,1,0,
all,0,1,0,
,,0,0,0
#birthday,0,1,0,
last,0,1,0,
that,0,1,0,
-,0,0,0,
have,0,1,0,
&,0,0,0,
new,0,1,0,
but,0,1,0,
amp,0,1,0,
today,0,1,0,
no,1,0,0,
(,0,0,0,
#life,0,1,0,
what,0,1,0,
\ufe0f,0,1,0,
#family,0,1,0,
miss,1,0,0,
from,0,1,0,
#instagood,0,1,0,
#summer,0,1,0,
was,0,1,0,
like,0,0,1,
not,0,1,0,
#beautiful,0,0,1,
we,0,1,0,
#selfie,0,1,0,
time,0,1,0,
when,0,1,0,
are,0,1,0,
it's,0,1,0,
good,0,0,1,
one,0,1,0,
\u201c,0,1,0,
out,0,1,0,
your,0,1,0,
#instagram,0,1,0,
up,0,1,0,
got,0,1,0,
#party,0,0,1,
now,0,1,0,
#day,0,1,0,
how,0,1,0,
que,0,1,0,
la,0,1,0,
night,0,1,0,
',0,0,0,
do,0,1,0,
<3,0,0,1,
life,0,1,0,
....,0,1,0,
#like,0,0,1,
\u2665,0,1,0,
*,0,0,0,
#sun,0,1,0,
#funny,0,0,1,
get,0,1,0,
#night,0,1,0,
go,0,1,0,
our,0,1,0,
birthday,0,1,0,
back,0,1,0,
home,0,1,0,
don't,0,1,0,
:D,0,0,1,
best,0,0,1,
