0,neg,neu,pos
?,0.022337,0.25415,0.056855
!,0.021277,0.2489,0.063156
0,0.023493,0.25403,0.055812
:,0.021923,0.25946,0.051955
\u2026,0.028046,0.27657,0.028713
the,0.023093,0.25562,0.054621
rt,0.022714,0.26026,0.050363
my,0.022138,0.25529,0.05591
i,0.02594,0.2531,0.054298
to,0.022604,0.25624,0.054485
",",0.022339,0.25907,0.051929
a,0.022782,0.24924,0.061308
this,0.025844,0.25399,0.053497
...,0.022695,0.25906,0.051579
and,0.01893,0.25447,0.059937
is,0.024677,0.25501,0.053642
in,0.023617,0.25349,0.05623
of,0.021876,0.26209,0.049367
me,0.020929,0.25417,0.058234
you,0.02704,0.24358,0.062709
/,0.017944,0.25661,0.058783
@,0.019206,0.25854,0.055589
#me,0,0,1
#smile,0,0,1
for,0.021784,0.2503,0.061253
"""",0.021318,0.26258,0.049438
with,0.015335,0.26055,0.057452
:),0.016479,0.21745,0.099407
so,0.027158,0.2405,0.065674
..,0.025645,0.25339,0.054299
day,0.017766,0.25803,0.057542
:(,0.066153,0.22789,0.039295
#,0.02119,0.25077,0.0613861
#friends,0,0,1
on,0.022858,0.26087,0.049609
it,0.02497,0.24795,0.060417
at,0.024168,0.25424,0.054922
),0.019772,0.26421,0.049359
#girl,0,0,1
be,0.024794,0.25782,0.050721
de,0.017106,0.27446,0.041772
#cute,0,0,1
#fun,0,0,1
love,0.021772,0.21623,0.095331
i'm,0.028937,0.24447,0.05993
\u2764,0.013509,0.25488,0.06494
just,0.022855,0.26225,0.048227
all,0.023924,0.25436,0.055046
,0.017004,0.25911,0.057216
#birthday,0,0,1
last,0.024169,0.272,0.037166
that,0.028332,0.25183,0.05317
-,0.023173,0.25748,0.05267
have,0.024672,0.25448,0.054182
&,0.017914,0.25987,0.055546
new,0.01477,0.2592,0.059367
but,0.025934,0.24925,0.058154
amp,0.017413,0.2577,0.058215
today,0.019251,0.26178,0.052298
no,0.046644,0.23512,0.051569
(,0.02644,0.27354,0.033361
#life,0,0,1
what,0.026502,0.25419,0.052638
\ufe0f,0,0,0
#family,0,0,1
miss,0.049125,0.24257,0.041647
from,0.018929,0.25884,0.055562
#instagood,0,0,1
#summer,0,0,1
was,0.025824,0.2583,0.04921
like,0.026203,0.2204,0.086742
not,0.026392,0.26166,0.045276
#beautiful,0,0,1
we,0.025123,0.24762,0.06059
#selfie,0,0,1
time,0.016931,0.25729,0.059115
when,0.022845,0.25622,0.054278
are,0.021137,0.25759,0.054596
it's,0.016135,0.25557,0.061625
good,0.016377,0.22069,0.09627
one,0.018512,0.25304,0.061784
\u201c,0.022764,0.25288,0.05769
out,0.026218,0.26902,0.038098
your,0.023544,0.25817,0.051622
#instagram,0,0,1
up,0.021202,0.26723,0.044913
got,0.024164,0.25086,0.058314
#party,0,0,1
now,0.021992,0.26005,0.051296
#day,0,0,1
how,0.026493,0.2541,0.052735
que,0.024047,0.26121,0.048095
la,0.015162,0.27646,0.041717
night,0.025845,0.25142,0.056079
',0.019112,0.25154,0.062678
do,0.027034,0.2549,0.051404
<3,0.013175,0.21585,0.1043
life,0.021345,0.25591,0.056078
....,0.021206,0.25699,0.055132
#like,0,0,1
\u2665,0.016289,0.26008,0.056969
*,0.017979,0.26391,0.051456
#sun,0,0,1
#funny,0,0,1
get,0.025831,0.25019,0.057309
#night,0,0,1
go,0.012937,0.2682,0.052181
our,0.016714,0.26591,0.050713
birthday,0.011065,0.25072,0.071544
back,0.018002,0.26929,0.046036
home,0.018877,0.26089,0.05356
don't,0.033975,0.25309,0.046266
:D,0.013894,0.22159,0.097843
best,0.013733,0.21587,0.10375
much,0.020881,0.24796,0.06449
by,0.017083,0.27622,0.040043
#new,0,0,1
#hair,0,0,1
will,0.027223,0.27056,0.035567
year,0.019822,0.26621,0.047304
#girls,0,0,1
#christmas,0,0,1
#dog,0,0,1
her,0.03115,0.25248,0.049694
mi,0.019676,0.2762,0.037464
u,0.020159,0.25449,0.058668
can't,0.031014,0.25373,0.048581
little,0.02629,0.24607,0.060968
about,0.026105,0.26021,0.047025
en,0.013936,0.27393,0.045475
look,0.020273,0.24963,0.063431
can,0.022536,0.24727,0.063521
morning,0.01138,0.25001,0.071954
he,0.028125,0.24008,0.065119
see,0.021714,0.26199,0.049619
#cool,0,0,1
lol,0.025355,0.23003,0.077945
why,0.027559,0.2627,0.043079
\u0e48,0.014829,0.2823,0.036193
#beach,0,0,1
more,0.022506,0.26434,0.046475
#baby,0,0,1
\u201d,0.026245,0.24999,0.057101
these,0.023,0.24216,0.06818
as,0.02059,0.26717,0.045588
#instapic,0,0,1
#lol,0,0,1
has,0.027674,0.25901,0.046635
el,0.019308,0.27193,0.042114
\u0e49,0.016045,0.28364,0.03363
y,0.011489,0.28601,0.035839
baby,0.030743,0.25723,0.04536
work,0.018503,0.26556,0.049274
#home,0,0,1
#boy,0,0,1
#music,0,0,1
#good,0,0,1
#friend,0,0,1
#follow,0,0,1
#instamood,0,0,1
only,0.017945,0.2551,0.060293
#holiday,0,0,1
too,0.022179,0.25285,0.058292
going,0.030743,0.2589,0.043683
#sunday,0,0,1
here,0.021334,0.26635,0.045672
#rip,0,0,1
make,0.022932,0.23789,0.072513
if,0.029025,0.2477,0.056604
#picoftheday,0,0,1
they,0.031994,0.24568,0.055655
feel,0.034383,0.24766,0.051295
an,0.013574,0.2729,0.046852
makes,0.021992,0.25827,0.053067
ever,0.025468,0.24079,0.067082
#food,0,0,1
con,0.0070337,0.27925,0.047053
3,0.024224,0.25428,0.05482
#my,0,0,1
#work,0,0,1
#pretty,0,0,1
after,0.020898,0.26072,0.051715
first,0.020198,0.26684,0.046305
want,0.02925,0.24538,0.058695
o,0.011328,0.28042,0.041588
know,0.030252,0.25094,0.052135
#morning,0,0,1
#followme,0,0,1
#true,0,0,1
right,0.024182,0.26415,0.045005
his,0.022459,0.24818,0.062693
really,0.021562,0.26182,0.049961
#school,0,0,1
\u263a,0.007614,0.28061,0.045103
#black,0,0,1
people,0.018523,0.26633,0.048465
2,0.01317,0.28127,0.038892
#nice,0,0,1
am,0.019791,0.25743,0.056118
#blue,0,0,1
who,0.024768,0.26736,0.041201
^,0.017734,0.26023,0.055374
made,0.021632,0.26013,0.051585
\u0e31,0.017944,0.29107,0.024324
#friday,0,0,1
had,0.016136,0.25058,0.066629
she,0.025316,0.25572,0.052299
#blessed,0,0,1
some,0.023577,0.24713,0.062631
smile,0.020149,0.20756,0.10562
#art,0,0,1
#photooftheday,0,0,1
:'(,0.045003,0.24738,0.040965
\u2661,0.016148,0.27144,0.045741
e,0.024892,0.26429,0.044152
~,0.017936,0.26508,0.050308
girl,0.020504,0.25522,0.057593
great,0.015107,0.22025,0.09797
#photo,0,0,1
never,0.028235,0.25186,0.053233
#alone,1,0,0
#red,0,0,1
#quote,0,0,1
been,0.024796,0.25711,0.051425
him,0.035774,0.24425,0.053312
\u0e35,0.005131,0.29072,0.037469
TRUE,0.020304,0.2234,0.089624
#instadaily,0,0,1
beautiful,0.016127,0.21426,0.10296
#crazy,0,0,1
#saturday,0,0,1
#memories,0,0,1
christmas,0.012024,0.24128,0.080029
still,0.020206,0.25395,0.0592
#smiles,0,0,1
its,0.021981,0.23535,0.075986
#pink,0,0,1
\u2600,0.01555,0.23277,0.084984
off,0.024074,0.25868,0.050574
feliz,0.019991,0.26566,0.047676
#today,0,0,1
finally,0.013992,0.26106,0.058284
face,0.020491,0.25322,0.059632
,0.023853,0.24034,0.069166
\u270c,0.024301,0.2564,0.052634
even,0.030321,0.2463,0.056711
always,0.019453,0.25237,0.061527
over,0.0203,0.26359,0.049445
#weekend,0,0,1
think,0.021437,0.25247,0.059407
way,0.016617,0.26491,0.051802
#year,1,0,0
there,0.024651,0.25876,0.04992
gonna,0.035455,0.25052,0.047363
#instalike,0,0,1
#cry,1,0,0
school,0.032171,0.27157,0.029599
#face,0,0,1
#lonely,1,0,0
oh,0.026142,0.23786,0.069333
again,0.024646,0.25927,0.04942
#fashion,0,0,1
us,0.019985,0.26045,0.052902
friends,0.013957,0.22075,0.098637
#eyes,0,0,1
un,0.013827,0.27497,0.044552
days,0.030633,0.25549,0.047214
#truth,0,0,1
#nofilter,0,0,1
haha,0.021275,0.22768,0.084377
#rain,0,0,1
https://t.co,0.016222,0.24206,0.075056
#tbt,0,0,1
#puppy,0,0,1
#cat,0,0,1
family,0.013524,0.24583,0.073971
well,0.02653,0.23465,0.072158
very,0.032091,0.23286,0.068373
world,0.031436,0.23225,0.069658
being,0.025029,0.25396,0.054347
hair,0.021589,0.24685,0.064893
#igers,0,0,1
old,0.028528,0.25532,0.049502
thanks,0.017851,0.23665,0.078838
#white,0,0,1
#sweet,0,0,1
#cold,1,0,0
picture,0.018694,0.262,0.052629
thank,0.01231,0.22689,0.094129
man,0.04082,0.2437,0.048809
feeling,0.027132,0.21816,0.08802
#sick,1,0,0
#instaphoto,0,0,1
everyone,0.01681,0.25005,0.066478
come,0.021901,0.26464,0.046791
bye,0.030911,0.24666,0.055796
because,0.035381,0.23963,0.058328
s,0.015612,0.26859,0.049132
se,0.029448,0.25833,0.045559
#beauty,0,0,1
#bestfriend,0,0,1
#newyear,0,0,1
wish,0.015367,0.24201,0.07598
them,0.022386,0.27078,0.040145
#2013,0,0,1
down,0.024308,0.27747,0.031565
#hot,0,0,1
need,0.0080662,0.26759,0.057678
te,0.0032833,0.3021,0.02795
#style,0,0,1
#best,0,0,1
or,0.024225,0.27326,0.035839
#gay,0,0,1
1,0.018152,0.24882,0.066367
before,0.026303,0.2463,0.060721
#halloween,0,0,1
ya,0.039609,0.26406,0.029677
friend,0.016289,0.21722,0.099844
#crying,1,0,0
#blonde,0,0,1
na,0.012266,0.28336,0.037706
#cake,0,0,1
#sky,0,0,1
#2014,0,0,0
p,0.033147,0.24827,0.051931
para,0.013793,0.28211,0.037442
#sister,0,0,1
years,0.033615,0.24821,0.051519
say,0.028057,0.24783,0.057444
rip,0.045036,0.26746,0.020813
#winter,1,0,0
take,0.02787,0.25536,0.050131
dia,0.0111,0.26928,0.052951
im,0.032095,0.25787,0.043371
#holidays,0,0,1
getting,0.029622,0.25123,0.052497
r,0.021567,0.28133,0.030447
house,0.030008,0.26428,0.039057
tonight,0.021983,0.26082,0.05052
#miss,1,0,0
another,0.014109,0.25731,0.061921
found,0.030269,0.25092,0.052153
#time,0,0,1
ready,0.019105,0.23905,0.07521
por,0.0038667,0.28437,0.045083
week,0.017282,0.24397,0.072074
did,0.019539,0.2579,0.055887
where,0.020217,0.27492,0.038205
#instamoment,1,0,0
i've,0.027333,0.24974,0.056268
friday,0.020122,0.24921,0.063998
es,0.00905,0.27098,0.05332
#likeforlike,0,0,1
would,0.02559,0.27078,0.036973
goodbye,0.022011,0.27297,0.038348
\u0e34,0.017889,0.28725,0.028196
#broken,1,0,0
photo,0.0254,0.24849,0.059433
please,0.036111,0.20721,0.090027
#peace,0,0,1
guys,0.021483,0.26292,0.048912
better,0.018984,0.23049,0.083877
:-),0.019125,0.21692,0.097273
#like4like,0,0,1
#friendship,0,0,1
every,0.012227,0.28216,0.038924
#sea,0,0,1
#chocolate,0,0,1
two,0.026964,0.24802,0.058347
poor,0.089586,0.2011,0.042653
girls,0.019033,0.26077,0.05352
#loveit,0,0,1
#goodmorning,0,0,1
missing,0.038522,0.22762,0.067228
4,0.017046,0.28309,0.033198
#enjoy,0,0,1
long,0.027107,0.25731,0.048925
#dinner,0,0,1
#wedding,0,0,1
#lovely,0,0,1
were,0.024462,0.24958,0.059293
#to,0,0,1
#nature,0,0,1
w,0.0038726,0.27298,0.056485
#healthy,0,0,1
god,0.011175,0.23272,0.089439
bad,0.056332,0.23694,0.040052
#monday,0,0,1
summer,0.024823,0.25919,0.049329
next,0.030887,0.25161,0.050841
big,0.022631,0.27279,0.037921
:/,0.06589,0.22172,0.045723
#green,0,0,1
#boyfriend,0,0,1
#quotes,0,0,1
real,0.012379,0.25593,0.065029
fun,0.015715,0.22759,0.090045
than,0.023242,0.25568,0.054392
could,0.012063,0.26402,0.05726
someone,0.025561,0.26467,0.043129
mom,0.014988,0.27363,0.044725
#you,0,0,1
#the,0,0,1
#so,0,0,1
da,0.018768,0.29058,0.023988
looks,0.010733,0.21165,0.11095
having,0.015527,0.24748,0.070324
.....,0.027752,0.24837,0.057191
#yummy,0,0,1
#swag,0,0,1
#iphone,0,0,1
that's,0.020033,0.25866,0.054639
heart,0.033267,0.25425,0.045837
#vacation,0,0,1
#makeup,0,0,1
#spring,0,0,1
#goodbye,0,0,1
thing,0.039858,0.23897,0.054528
gone,0.029107,0.27752,0.026714
yes,0.024108,0.22114,0.088082
omg,0.046834,0.24832,0.03819
dinner,0.011448,0.27501,0.046876
boy,0.020926,0.25185,0.060549
beach,0.015546,0.26786,0.049926
#tears,1,0,0
#brother,0,0,1
things,0.0093265,0.26305,0.060969
weekend,0.033733,0.24177,0.05784
sunday,0.044648,0.22543,0.063231
hahaha,0.026544,0.21488,0.09189
believe,0.011115,0.25821,0.064002
#perfect,0,0,1
tomorrow,0.03373,0.25146,0.048163
pic,0.015685,0.27533,0.042309
leave,0.068209,0.21004,0.055092
(:,0.015699,0.22155,0.096072
#snow,0,0,1
game,0.015375,0.27569,0.042253
#sunny,0,0,1
#look,0,0,1
#and,0,0,1
#travel,0,0,1
#drunk,0,0,1
#bestfriends,0,0,1
\u00e9,0.014089,0.259,0.060241
let,0.034019,0.24186,0.057426
dog,0.034767,0.24812,0.050443
\u2728,0.0022778,0.27622,0.054835
left,0.013097,0.27851,0.041732
c,0.021814,0.24508,0.066436
#kids,0,0,1
such,0.031589,0.23305,0.068717
most,0.02054,0.24267,0.070126
#feliz,0,0,1
then,0.01969,0.25187,0.06176
hope,0.019256,0.22636,0.087716
#coffee,0,0,1
#bday,0,0,1
pretty,0.014124,0.2151,0.10411
live,0.02594,0.27761,0.029803
#flowers,0,0,1
#bff,0,0,1
moment,0.040861,0.26207,0.03039
favorite,0.015618,0.24322,0.0745
away,0.009722,0.29408,0.029517
#dance,0,0,1
los,0.011409,0.26295,0.058979
le,0.015273,0.28284,0.035218
\,0,0.30238,0.030958
done,0.027684,0.26604,0.039606
already,0.027831,0.25787,0.047623
#world,1,0,0
while,0.036624,0.24002,0.0567
myself,0.025143,0.24722,0.06097
may,0.014506,0.25194,0.066895
lo,0.02593,0.26724,0.040167
una,0.014528,0.28592,0.032889
party,0.018431,0.2299,0.084997
hello,0.020911,0.23555,0.076894
|,0.0054762,0.32047,0.007381
something,0.020323,0.27104,0.041983
#sunset,0,0,1
#bad,1,0,0
+,0.021588,0.2651,0.046639
#yay,0,0,1
cute,0.024984,0.20277,0.10558
2013,0.011635,0.28692,0.034776
#goodnight,0,0,1
n,0.017876,0.26664,0.048822
hate,0.059796,0.23491,0.038625
end,0.030112,0.25155,0.051668
amazing,0.019455,0.23101,0.082864
#instalove,0,0,1
#car,0,0,1
many,0.020611,0.25168,0.061014
place,0.032615,0.23984,0.060873
cry,0.05637,0.2423,0.034682
car,0.018333,0.26149,0.053486
#shopping,0,0,1
#forever,0,0,1
guy,0.029986,0.25258,0.050773
find,0.0094265,0.26061,0.063295
didn't,0.026798,0.26138,0.045141
#sunshine,0,0,1
#goodtimes,0,0,1
del,0.019917,0.27668,0.036742
their,0.009405,0.28193,0.041989
t,0.017411,0.27685,0.039069
lost,0.047053,0.22415,0.062096
#myself,0,0,1
#iphonesia,0,0,1
leaving,0.017382,0.27153,0.044419
#tree,0,0,1
#happybirthday,0,0,1
yesterday,0.039821,0.23504,0.058449
#heart,0,0,1
keep,0.026511,0.25289,0.053928
#with,0,0,1
#proud,0,0,1
#kiss,0,0,1
watching,0.023155,0.24568,0.064525
#people,0,0,1
#mom,0,0,1
vida,0.012042,0.30663,0.014667
5,0.023903,0.27253,0.036902
#together,0,0,1
#picture,0,0,1
#missyou,0,0,1
#hurt,1,0,0
las,0.046805,0.20925,0.077306
i'll,0.031248,0.24112,0.060962
without,0.014382,0.26864,0.05028
#london,0,0,1
#instacool,0,0,1
you're,0.023061,0.24236,0.067893
nice,0.011642,0.20935,0.11233
#now,0,0,1
di,0.017067,0.2675,0.048767
brother,0.023416,0.24408,0.065831
#nyc,0,0,1
#glasses,0,0,1
#free,0,0,1
#photography,0,0,1
#pain,1,0,0
#moments,0,0,1
#inlove,0,0,1
#drawing,0,0,1
