0,neg,neu,pos
?,0.022893,0.24883,0.061613
!,0.018161,0.24668,0.068493
0,0.023786,0.25805,0.051502
:,0.020833,0.26579,0.046709
\u2026,0.026537,0.28425,0.022537
the,0.023422,0.26039,0.049528
rt,0.020583,0.26775,0.045003
my,0.022747,0.25243,0.058158
i,0.030049,0.2503,0.05299
to,0.022916,0.2638,0.04661
",",0.02191,0.26408,0.047347
a,0.022566,0.2485,0.062271
this,0.028539,0.25754,0.047256
...,0.025556,0.2668,0.040969
and,0.018659,0.25769,0.056989
is,0.027086,0.25449,0.051759
in,0.022744,0.26133,0.049266
of,0.022271,0.2672,0.043862
me,0.020694,0.25481,0.057834
you,0.02659,0.23842,0.06832
/,0.01807,0.26642,0.048843
@,0.01284,0.27233,0.048161
#me,0.0098,0.22944,0.094096
#smile,0.0045951,0.18826,0.14048
for,0.022357,0.25456,0.056421
"""",0.022447,0.26618,0.044718
with,0.0157,0.26105,0.056585
:),0.0043209,0.18937,0.13965
so,0.031804,0.23692,0.064605
..,0.026623,0.26424,0.042465
day,0.019796,0.25164,0.061906
:(,0.11054,0.20474,0.018046
#,0.018161,0.24904,0.066142
#friends,0.0056352,0.17702,0.15068
on,0.024022,0.27167,0.037645
it,0.024008,0.25566,0.053671
at,0.027305,0.26373,0.042294
),0.018108,0.26618,0.049052
#girl,0.0097176,0.22788,0.095738
be,0.025109,0.26368,0.044551
de,0.0047933,0.29673,0.031813
#cute,0.0093806,0.18852,0.13543
#fun,0.0053428,0.1733,0.15469
love,0.014154,0.17286,0.14632
i'm,0.03445,0.24915,0.049736
\u2764,0.0071973,0.24298,0.08315
just,0.026531,0.26403,0.042765
all,0.029292,0.2515,0.052535
,0.012139,0.26266,0.058538
#birthday,0.0053654,0.26377,0.064196
last,0.026213,0.27832,0.028799
that,0.037907,0.25102,0.044404
-,0.016404,0.26742,0.049507
have,0.02587,0.25239,0.055074
&,0.01337,0.26205,0.057914
new,0.0057643,0.26393,0.063643
but,0.034038,0.2352,0.064091
amp,0.012368,0.25771,0.063253
today,0.012845,0.27125,0.049235
no,0.072794,0.22506,0.035472
(,0.026853,0.28068,0.025804
#life,0.021426,0.23697,0.074944
what,0.020859,0.25918,0.053285
\ufe0f,0,0,0
#family,0.0024375,0.26693,0.063965
miss,0.072942,0.23101,0.029388
from,0.012389,0.26508,0.055874
#instagood,0.010235,0.24541,0.077686
#summer,0.0075833,0.24943,0.07632
was,0.028463,0.26595,0.038925
like,0.030943,0.20484,0.097577
not,0.034085,0.268,0.03124
#beautiful,0.0083265,0.16344,0.16156
we,0.024377,0.25551,0.053449
#selfie,0.010148,0.21433,0.10885
time,0.012759,0.26218,0.058397
when,0.024082,0.27121,0.038043
are,0.025431,0.26121,0.046682
it's,0.013411,0.25868,0.061245
good,0.013368,0.19244,0.12753
one,0.01685,0.26591,0.050584
\u201c,0.025486,0.2672,0.040646
out,0.030867,0.2746,0.027876
your,0.023391,0.24646,0.063477
#instagram,0.01881,0.2551,0.059437
up,0.023404,0.26954,0.040404
got,0.023221,0.26242,0.047703
#party,0.0098497,0.17957,0.14392
now,0.023461,0.26956,0.040318
#day,0.0084963,0.26632,0.058519
how,0.037175,0.2607,0.035465
que,0.014885,0.29362,0.024828
la,0.015157,0.29626,0.021917
night,0.024068,0.24289,0.066388
',0.022397,0.27957,0.031369
do,0.018569,0.26627,0.048503
<3,0.0077879,0.18579,0.13974
life,0.018206,0.26042,0.054697
....,0.019938,0.27312,0.040278
#like,0.0067037,0.16315,0.16348
